报告创建时间：,18/06/2022 16:20,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：,20/05/2022 - 18/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
商店ID:,"489629000	",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
排序,广告名称,状态,商品编号,广告类型,关键字/展示位置,开始日期,结束日期,浏览数,点击数,点击率,转化,直接转化,转化率,直接转化率,每一转化的成本,每一直接转化的成本,商品已出售,直接已售商品,销售金额,直接销售金额,花费,投资产出比,直接投资产出比,成本收入对比,直接成本收入对比,商品浏览数,商品点击数,商品点击率
"1	",Artificial Hanging Vine Weeping Willow Plastic Greenery Leaves for Indoor Outdoor Garden Wedding Party Home Decor,进行中,"8779009904	",关联广告,ALL,20/08/2021 00:00,无限制,15256,672,4.40%,36,14,5.36%,2.08%,7.13,18.35,426,331,20180,13477,256.84,78.57,52.47,1.27%,1.91%,N/A,N/A,N/A
"2	",Artificial Hanging Ferns Plants Vine Fake Ivy Boston Fern Hanging Plant Outdoor UV Resistant Plastic Plants for Wall Indoor Hanging Baskets Wedding Decor,进行中,"10618473470	",商品搜索广告,ALL,19/08/2021 23:00,无限制,15034,410,2.73%,26,15,6.34%,3.66%,33.85,58.67,77,44,7839,5112,880.03,8.91,5.81,11.23%,17.21%,N/A,N/A,N/A
"3	",New Year Gift  Artificial Eucalyptus Leaves Stems Bulk Fake Silver Eucalyptus Leaves Plant in Grey Green 29cm Tall Artificial Greenery Holiday Greens Wedding Greenery,进行中,"14007838087	",关联广告,ALL,22/05/2022 00:00,无限制,11502,528,4.59%,17,3,3.22%,0.57%,20.97,118.84,51,10,3216,350,356.52,9.02,0.98,11.09%,101.86%,N/A,N/A,N/A
"4	",Artificial Hanging Ferns Plants Vine Fake Ivy Boston Fern Hanging Plant Outdoor UV Resistant Plastic Plants for Wall Indoor Hanging Baskets Wedding Decor,进行中,"10618473470	",关联广告,ALL,20/08/2021 00:00,无限制,11293,465,4.12%,28,15,6.02%,3.23%,6.29,11.73,138,51,11345,5895,175.99,64.46,33.5,1.55%,2.99%,N/A,N/A,N/A
"5	","Artificial Plastic Eucalyptus Stems, Fake Greenery for Farmhouse Home Wedding Porch Garden Yard Decor",进行中,"16830193334	",关联广告,ALL,22/05/2022 00:00,无限制,9837,444,4.51%,10,1,2.25%,0.23%,21.98,219.76,75,3,4051,195,219.76,18.43,0.89,5.42%,112.70%,N/A,N/A,N/A
"6	",Artificial Flowers Butterfly Long Stem Fake Orchids Silk Flower for Wedding Home Office Party Hotel Indoor Outdoor Decor,进行中,"6394649512	",商品搜索广告,ALL,20/07/2021 23:00,无限制,9761,165,1.69%,12,3,7.27%,1.82%,28.34,113.35,30,7,1696,301,340.05,4.99,0.89,20.05%,112.97%,N/A,N/A,N/A
"7	",Artificial Hanging Vine Weeping Willow Plastic Greenery Leaves for Indoor Outdoor Garden Wedding Party Home Decor,进行中,"8779009904	",商品搜索广告,ALL,19/08/2021 23:00,无限制,9752,261,2.68%,6,3,2.30%,1.15%,116.22,232.44,106,103,4040,3889,697.32,5.79,5.58,17.26%,17.93%,N/A,N/A,N/A
"8	","7cm Fake Sunflowers, Artificial Sunflower Heads, Faux Silk Sunflower Decoration for Craft Home Party Wedding Decor",进行中,"7394857526	",关联广告,ALL,22/05/2022 00:00,无限制,8545,256,3.00%,7,3,2.73%,1.17%,71.15,166.02,11,4,883,366,498.07,1.77,0.73,56.41%,136.08%,N/A,N/A,N/A
"9	",110cm/Piece Artificial Fake Wisteria Vine Ratta Hanging Garland Silk Flowers String Home Party Wedding Decor,进行中,"9078931447	",关联广告,ALL,31/10/2021 23:00,无限制,8184,171,2.09%,6,4,3.51%,2.34%,96.67,145,60,48,3066,2256,580,5.29,3.89,18.92%,25.71%,N/A,N/A,N/A
"10	",Artificial Rose Bud Silk Flowers Bush 22cm  Long Artificial Flower Bush for Wedding Decor Home Decoration Faux Roses Decor- Fake Pink Rose with 5 Stems,进行中,"9578164961	",商品搜索广告,ALL,19/08/2021 23:00,无限制,6566,80,1.22%,3,3,3.75%,3.75%,70.75,70.75,20,20,740,740,212.25,3.49,3.49,28.68%,28.68%,N/A,N/A,N/A
"11	",Artificial Turtle leaf wall hanging Plants Vine Hanging Garland Fake Foliage Flowers Home Kitchen Garden Office Wedding Wall Decor,进行中,"10418779309	",关联广告,ALL,22/05/2022 00:00,无限制,6402,202,3.16%,11,4,5.45%,1.98%,35.35,97.21,26,9,2472,1157,388.84,6.36,2.98,15.73%,33.61%,N/A,N/A,N/A
"12	",Fake Artificial Buttercups Stem Silk Flowers Artificial Silk Peonies for Wedding Home Party Decoration,进行中,"9479532169	",商品搜索广告,ALL,19/08/2021 23:00,无限制,4109,56,1.36%,0,0,0.00%,0.00%,0,0,0,0,0,0,84.77,0,0,0.00%,0.00%,N/A,N/A,N/A
"13	",Artificial Flowers Flocked Plastic Lavender Wedding Bridle Bouquet Indoor Outdoor Home Kitchen Office Table Arrangements,进行中,"8481175050	",商品搜索广告,ALL,19/08/2021 23:00,无限制,4066,124,3.05%,4,2,3.23%,1.61%,37.14,74.27,16,13,749,598,148.54,5.04,4.03,19.83%,24.84%,N/A,N/A,N/A
"14	","Artificial Lavender Flower For Wedding Decor And Table Centerpieces,Lifelike Fake Plant Bouquet to Brighten Up Your Home",进行中,"4895309738	",商品搜索广告,ALL,19/08/2021 23:00,无限制,1592,43,2.70%,0,0,0.00%,0.00%,0,0,0,0,0,0,29.22,0,0,0.00%,0.00%,N/A,N/A,N/A
"15	",16 stems Artificial Eucalyptus Stems with Fake Leaves- Decorative Arrangements Flexible Stem Faux Branches Bouquets Silver Dollar Leaf Wedding Centerpieces Vases Decor,进行中,"9678835573	",关联广告,ALL,22/05/2022 00:00,无限制,688,20,2.91%,0,0,0.00%,0.00%,0,0,0,0,0,0,36.08,0,0,0.00%,0.00%,N/A,N/A,N/A
"16	",180cm Artificial Hanging Ferns Plants Vine Fake Ivy Boston Fern Hanging Plant Outdoor UV Resistant Plastic Plants for Wall Indoor Hanging Baskets Wedding Decor,进行中,"14935099352	",关联广告,ALL,22/05/2022 00:00,无限制,567,15,2.65%,7,0,46.67%,0.00%,3.83,0,26,0,2700,0,26.8,100.76,0,0.99%,0.00%,N/A,N/A,N/A
"17	",Artificial Flowers Flocked Plastic Lavender Wedding Bridle Bouquet Indoor Outdoor Home Kitchen Office Table Arrangements,进行中,"8481175050	",关联广告,ALL,20/08/2021 00:00,无限制,456,18,3.95%,0,0,0.00%,0.00%,0,0,0,0,0,0,6.3,0,0,0.00%,0.00%,N/A,N/A,N/A
"18	",1pc/52cm Artificial Plants Fake Eucalyptus Leaves of Bouquet for Bride Home Table Garden Decoration,进行中,"12185208010	",关联广告,ALL,22/05/2022 00:00,无限制,323,12,3.72%,0,0,0.00%,0.00%,0,0,0,0,0,0,17.92,0,0,0.00%,0.00%,N/A,N/A,N/A
"19	","Mini Succulents Artificial -7cm Succulents Plants Artificial Mini Geometric Ceramic Plants in Pot,  Assorted Decorative Faux Fake Succulents Plants for Living Room and Bedroom decor",进行中,"12208442915	",关联广告,ALL,12/09/2021 00:00,无限制,224,13,5.80%,2,1,15.38%,7.69%,2.11,4.23,3,1,215,139,4.23,50.84,32.87,1.97%,3.04%,N/A,N/A,N/A
"20	","Artificial Bouquet with Small Vase, Fake Silk Peony Flowers Arrangement in Vase for Decoration Home Office Table Wedding",进行中,"16869784860	",关联广告,ALL,22/05/2022 00:00,无限制,114,2,1.75%,0,0,0.00%,0.00%,0,0,0,0,0,0,2.59,0,0,0.00%,0.00%,N/A,N/A,N/A
"21	",Artificial Rose Bud Silk Flowers Bush 22cm  Long Artificial Flower Bush for Wedding Decor Home Decoration Faux Roses Decor- Fake Pink Rose with 5 Stems,进行中,"9578164961	",关联广告,ALL,20/08/2021 00:00,无限制,97,2,2.06%,0,0,0.00%,0.00%,0,0,0,0,0,0,0.7,0,0,0.00%,0.00%,N/A,N/A,N/A
"22	",Fake Artificial Buttercups Stem Silk Flowers Artificial Silk Peonies for Wedding Home Party Decoration,进行中,"9479532169	",关联广告,ALL,20/08/2021 00:00,无限制,77,2,2.60%,0,0,0.00%,0.00%,0,0,0,0,0,0,0.7,0,0,0.00%,0.00%,N/A,N/A,N/A
"23	",Artificial Flowers Butterfly Long Stem Fake Orchids Silk Flower for Wedding Home Office Party Hotel Indoor Outdoor Decor,进行中,"6394649512	",关联广告,ALL,21/07/2021 00:00,无限制,69,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0.00%,0.00%,N/A,N/A,N/A
"24	","Artificial Lavender Flower For Wedding Decor And Table Centerpieces,Lifelike Fake Plant Bouquet to Brighten Up Your Home",进行中,"4895309738	",关联广告,ALL,20/08/2021 00:00,无限制,21,2,9.52%,0,0,0.00%,0.00%,0,0,0,0,0,0,0.7,0,0,0.00%,0.00%,N/A,N/A,N/A
"25	",COD 5.5M Green Spruce Artificial Indoor / Outdoor Christmas Garland Xmas Garlands Perfect for DIY,暂停中,"12940739715	",关联广告,ALL,31/10/2021 23:00,无限制,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0.00%,0.00%,N/A,N/A,N/A
"26	","9681340934	",已结束,"9681340934	",商品搜索广告,ALL,22/07/2021 23:00,无限制,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0.00%,0.00%,N/A,N/A,N/A
"27	",1.75m Red Berry Garland Christmas Decoration - Artificial Greenery Garland with Red Berries for Holiday Fireplace Mantel Table Home Decoration,暂停中,"11519005931	",关联广告,ALL,05/10/2021 23:00,无限制,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0.00%,0.00%,N/A,N/A,N/A
"28	","Holly Berry Artificial Wreath,Christmas Wreath for Front Door, Artificial Door Wreath Flushed with Holly Leaves, , Home Decor for Indoor, Wall, Fireplace, Decoration",暂停中,"3494848383	",关联广告,ALL,15/11/2021 23:00,无限制,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0.00%,0.00%,N/A,N/A,N/A
"29	","Christmas Garland Holly Leaves and Red Berries Winter Garland, Holiday Decoration Holly Leaf Garland, 2m/6.6FT Premium Garland Christmas for Mantle",暂停中,"12809421503	",关联广告,ALL,14/09/2021 23:00,无限制,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0.00%,0.00%,N/A,N/A,N/A
"30	",Artificial Daisies Flowers Outdoor 1 Bundles Fake Foliage Greenery Faux Plants Shrubs Plastic Bushes for Window Box Hanging Planter Farmhouse Indoor Outside Decor( Magenta),暂停中,"11618867838	",商品搜索广告,ALL,19/08/2021 23:00,无限制,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0.00%,0.00%,N/A,N/A,N/A
"31	","9681340934	",已结束,"9681340934	",关联广告,ALL,23/07/2021 00:00,无限制,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0.00%,0.00%,N/A,N/A,N/A
"32	",Artificial Daisies Flowers Outdoor 1 Bundles Fake Foliage Greenery Faux Plants Shrubs Plastic Bushes for Window Box Hanging Planter Farmhouse Indoor Outside Decor( Magenta),暂停中,"11618867838	",关联广告,ALL,20/08/2021 00:00,无限制,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0.00%,0.00%,N/A,N/A,N/A
"33	","Mini Succulents Artificial -7cm Succulents Plants Artificial Mini Geometric Ceramic Plants in Pot,  Assorted Decorative Faux Fake Succulents Plants for Living Room and Bedroom decor",已结束,"12208442915	",商品搜索广告,ALL,11/09/2021 23:00,16/02/2022 09:27,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0.00%,0.00%,N/A,N/A,N/A
